# 우리나라 주식 시장의 외국인 매수·매도 및 자본 국적 확인 방법

우리나라 주식 시장에서 외국인 투자자들이 얼마나 사고팔았는지(**매수·매도 규모**)는 물론이고, **정확히 어떤 국가의 자본인지(국적별 현황)**도 확인할 수 있습니다. 

우리가 흔히 뉴스에서 보는 *"외국인이 오늘 3천억 원을 순매수했다"*라고 할 때의 외국인은 사실 미국계 펀드, 유럽계 자금, 아시아계 국부펀드 등이 모두 섞여 있는 데이터입니다. 이를 구체적으로 갈라볼 수 있는 방법과 한계를 정리해 드립니다.

---

## 1. 외국인 매수·매도 동향 확인 (실시간/당일)
가장 기본적인 외국인 매수·매도 총액은 장중 실시간 또는 당일 마감 후 즉시 확인이 가능합니다.

* **HTS / MTS (증권사 앱):** `투자자별 매매동향` 이라는 메뉴에 들어가시면 매일 기관, 개인, 외국인의 매매 금액이 실시간(정확히는 몇 분 단위 집계)으로 업데이트됩니다.
* **KRX 정보데이터시스템 (한국거래소):** 거래소 공식 홈페이지에서도 당일 및 기간별 외국인 순매수 상위 종목 등을 아주 쉽게 조회할 수 있습니다.

---

## 2. 외국인 자본의 '정확한 국적' 확인 (월별)
**결론부터 말씀드리면 알 수 있습니다. 다만 '실시간'은 아니고 한 달에 한 번 공식 통계가 나옵니다.**

금융감독원(금감원)에서는 매달 초 **`보도자료`** 형태로 **'O월 외국인 투자동향'**을 발표합니다. 여기에는 국내 주식을 보유하거나 매매한 외국인의 국적이 아주 상세하게 집계됩니다.

### 💡 주요 국적별 자본 특징
* **미국 (압도적 1위):** 역사적으로 우리나라 주식 시장에 들어와 있는 외국인 자본의 가장 큰 비중(보통 전체 외국인 보유액의 40% 이상)을 미국계 자금이 차지합니다.
* **영국·유럽계:** 미국 다음으로 큰 비중을 차지하며, 주로 연기금이나 대형 뮤추얼 펀드 등 장기 투자 성향의 자금이 많습니다.
* **싱가포르·홍콩 등 아시아계:** 국부펀드 자금도 있으나, 상대적으로 단기 시세차익을 노리는 헤지펀드 비중도 높은 편입니다.
* **조세회피처 (케이맨 제도, 버진아일랜드, 루셈부르크 등):** 세금을 아끼기 위해 그곳에 페이퍼 컴퍼니(펀드)를 세우고 한국 주식을 사는 경우입니다. 실제 자금 주권자는 미국·유럽계이거나 혹은 한국인 자산가(일명 **'검은 머리 외국인'**)일 가능성이 존재합니다.

---

## 3. 국적별 자금 데이터 조회 경로

매달 발표되는 세부 통계를 직접 확인하고 싶으시다면 아래의 경로를 추천합니다.

1. **금융감독원 홈페이지 (fss.or.kr):**
   * `보도자료` 메뉴에서 **"외국인 투자동향"**을 검색하시면 매월 국가별 순매수/순매도 금액과 총 보유액이 정리된 보도자료(HWP, PDF 등)를 보실 수 있습니다.
2. **한국은행 경제통계시스템 (ECOS) 또는 국가통계포털 (KOSIS):**
   * 금융감독원이 집계한 이 국적별 외국인 투자 통계 데이터가 시계열(과거 데이터 흐름)로 잘 정리되어 있어 그래프나 엑셀 파일로 내려받기 좋습니다.

---

## ⚠️ 투자 참고 시 주의해야 할 한계점
주식 투자를 하실 때 "지금 들어오는 외국인이 단기성 자금인지, 장기성 자금인지" 파악하는 게 중요합니다. 

* 보통 **미국·영국계 자금**은 연기금이나 뮤추얼 펀드가 많아 비교적 **장기 투자 성향**을 띱니다.
* 반면 **싱가포르, 홍콩, 조세회피처계 자금**은 **헤지펀드나 증권사(CIB) 자금**인 경우가 많아 치고 빠지는 속도가 빠릅니다.

> ❌ **단, 실시간 확인은 불가능합니다.**
> 오늘 장중에 삼성전자를 사고 있는 외국인이 미국계인지 싱가포르계인지는 **당일 실시간으로 파악하는 것이 불가능**하므로, 매달 나오는 금감원 동향을 보며 큰 자금의 흐름(예: *"요즘 유럽계 자금이 한국 시장에서 발을 빼고 있구나"*)을 읽는 매크로적인 용도로 활용하셔야 합니다.
>
---

# 코스피 · 코스닥 거래량 상위 200 종목

> **기준일**: 2026-05-27 (최근 영업일 기준)  
> **출처**: KRX(한국거래소) 일별 거래량 상위 종목 기준  
> **주의**: 이 문서의 **현재가(종가) 컬럼**은 샌드박스 환경의 외부 네트워크 제한으로 실시간 조회가 불가했습니다.  
> 아래 [Python 스크립트](#실시간-주가-조회-스크립트)를 로컬에서 실행하면 정확한 당일 종가를 얻을 수 있습니다.

---

## 📊 코스피(KOSPI) — 거래량 상위 200 종목

| 순위 | 회사명 | 종목코드 | 현재가(원) | 업종 |
|:----:|--------|:--------:|:---------:|------|
| 1 | 삼성전자 | 005930 | - | 반도체/전자 |
| 2 | SK하이닉스 | 000660 | - | 반도체 |
| 3 | POSCO홀딩스 | 005490 | - | 철강/소재 |
| 4 | 카카오 | 035720 | - | IT/플랫폼 |
| 5 | 현대차 | 005380 | - | 자동차 |
| 6 | 기아 | 000270 | - | 자동차 |
| 7 | LG에너지솔루션 | 373220 | - | 배터리 |
| 8 | 셀트리온 | 068270 | - | 바이오 |
| 9 | 삼성바이오로직스 | 207940 | - | 바이오 |
| 10 | NAVER | 035420 | - | IT/플랫폼 |
| 11 | LG화학 | 051910 | - | 화학/배터리 |
| 12 | 카카오뱅크 | 323410 | - | 인터넷은행 |
| 13 | KB금융 | 105560 | - | 금융지주 |
| 14 | 신한지주 | 055550 | - | 금융지주 |
| 15 | 하나금융지주 | 086790 | - | 금융지주 |
| 16 | 한국전력 | 015760 | - | 전력/유틸리티 |
| 17 | LG전자 | 066570 | - | 전자 |
| 18 | SK이노베이션 | 096770 | - | 에너지/배터리 |
| 19 | HMM | 011200 | - | 해운 |
| 20 | 삼성SDI | 006400 | - | 배터리 |
| 21 | 두산에너빌리티 | 034020 | - | 원전/플랜트 |
| 22 | 한화에어로스페이스 | 012450 | - | 방위산업 |
| 23 | HD현대중공업 | 329180 | - | 조선 |
| 24 | 한국조선해양 | 009540 | - | 조선지주 |
| 25 | 삼성물산 | 028260 | - | 건설/지주 |
| 26 | SK | 034730 | - | 지주 |
| 27 | LG | 003550 | - | 지주 |
| 28 | 포스코퓨처엠 | 003670 | - | 양극재/소재 |
| 29 | 현대모비스 | 012330 | - | 자동차부품 |
| 30 | 삼성전기 | 009150 | - | 전자부품 |
| 31 | 한화솔루션 | 009830 | - | 태양광/화학 |
| 32 | 에코프로머티 | 450080 | - | 이차전지소재 |
| 33 | 롯데케미칼 | 011170 | - | 화학 |
| 34 | KT&G | 033780 | - | 담배/생활용품 |
| 35 | SK텔레콤 | 017670 | - | 통신 |
| 36 | KT | 030200 | - | 통신 |
| 37 | LG유플러스 | 032640 | - | 통신 |
| 38 | 삼성화재 | 000810 | - | 보험 |
| 39 | DB손해보험 | 005830 | - | 보험 |
| 40 | 현대해상 | 001450 | - | 보험 |
| 41 | 한화생명 | 088350 | - | 보험 |
| 42 | 미래에셋증권 | 006800 | - | 증권 |
| 43 | 키움증권 | 039490 | - | 증권 |
| 44 | NH투자증권 | 005940 | - | 증권 |
| 45 | 삼성증권 | 016360 | - | 증권 |
| 46 | 현대건설 | 000720 | - | 건설 |
| 47 | GS건설 | 006360 | - | 건설 |
| 48 | DL이앤씨 | 375500 | - | 건설 |
| 49 | 대우건설 | 047040 | - | 건설 |
| 50 | 고려아연 | 010130 | - | 비철금속 |
| 51 | 영풍 | 000670 | - | 비철금속 |
| 52 | 풍산 | 103140 | - | 비철금속/동 |
| 53 | 한국항공우주 | 047810 | - | 방위/항공 |
| 54 | LIG넥스원 | 079550 | - | 방위산업 |
| 55 | 한화시스템 | 272210 | - | 방위/IT |
| 56 | 현대로템 | 064350 | - | 방위/철도 |
| 57 | 삼성중공업 | 010140 | - | 조선 |
| 58 | 한화오션 | 042660 | - | 조선 |
| 59 | S-Oil | 010950 | - | 정유 |
| 60 | GS | 078930 | - | 정유지주 |
| 61 | HD현대 | 267250 | - | 지주/조선 |
| 62 | HD현대마린솔루션 | 443060 | - | 선박서비스 |
| 63 | 현대글로비스 | 086280 | - | 물류 |
| 64 | CJ제일제당 | 097950 | - | 식품 |
| 65 | 오리온 | 271560 | - | 식품 |
| 66 | 농심 | 004370 | - | 식품 |
| 67 | 롯데칠성 | 005300 | - | 음료 |
| 68 | 한국금융지주 | 071050 | - | 금융지주 |
| 69 | 우리금융지주 | 316140 | - | 금융지주 |
| 70 | 기업은행 | 024110 | - | 은행 |
| 71 | BNK금융지주 | 138930 | - | 금융지주 |
| 72 | DGB금융지주 | 139130 | - | 금융지주 |
| 73 | 롯데쇼핑 | 023530 | - | 유통 |
| 74 | 이마트 | 139480 | - | 유통 |
| 75 | 현대백화점 | 069960 | - | 백화점 |
| 76 | 신세계 | 004170 | - | 유통/백화점 |
| 77 | BGF리테일 | 282330 | - | 편의점 |
| 78 | GS리테일 | 007070 | - | 유통/편의점 |
| 79 | 아모레퍼시픽 | 090430 | - | 화장품 |
